ZIP_CODE,FHSZ,Risk Category
92880,2.4545454545454546,Moderate
92881,2.0,Moderate
92882,2.857142857142857,High
92883,2.119047619047619,Moderate
92886,2.5714285714285716,High
92887,2.5,High
93001,2.4375,Moderate
93003,3.0,High
93004,2.0,Moderate
93010,3.0,High
93012,1.7818181818181817,Moderate
93013,1.5357142857142858,Moderate
93015,1.9285714285714286,Moderate
93021,2.1176470588235294,Moderate
93022,2.1538461538461537,Moderate
93023,2.5526315789473686,High
93033,2.0,Moderate
93040,2.2941176470588234,Moderate
93042,3.0,High
93060,1.7837837837837838,Moderate
93063,3.0,High
93065,2.4,Moderate
93066,2.051282051282051,Moderate
93067,3.0,High
93101,3.0,High
93103,3.0,High
93105,2.5675675675675675,High
93108,2.15,Moderate
93110,2.3,Moderate
93111,1.8,Moderate
93117,1.8181818181818181,Moderate
93203,1.5454545454545454,Moderate
93204,1.7307692307692308,Moderate
93205,2.8,High
93206,2.0,Moderate
93207,1.8888888888888888,Moderate
93210,2.1184210526315788,Moderate
93215,1.0,Low
93221,1.5238095238095237,Moderate
93222,3.0,High
93224,2.466666666666667,Moderate
93225,3.0,High
93226,2.5714285714285716,High
93234,1.5,Moderate
93238,2.7777777777777777,High
93239,1.5,Moderate
93240,2.5135135135135136,High
93243,1.8461538461538463,Moderate
93244,1.5384615384615385,Moderate
93247,1.4285714285714286,Low
93249,2.0930232558139537,Moderate
93250,1.0,Low
93251,2.1052631578947367,Moderate
93252,2.3333333333333335,Moderate
93254,2.34375,Moderate
93255,1.8627450980392157,Moderate
93257,2.0,Moderate
93260,2.5,High
93262,3.0,High
93265,2.5762711864406778,High
93267,1.3333333333333333,Low
93268,1.2,Low
93270,1.75,Moderate
93271,2.5625,High
93283,1.7927927927927927,Moderate
93285,2.9,High
93286,1.6774193548387097,Moderate
93287,2.1666666666666665,Moderate
93306,1.4782608695652173,Low
93308,1.4375,Low
93313,1.5,Moderate
93401,2.263157894736842,Moderate
93402,1.7857142857142858,Moderate
93405,2.0,Moderate
93407,1.5,Moderate
93420,1.9120879120879122,Moderate
93422,2.0625,Moderate
93426,1.7962962962962963,Moderate
93427,1.7142857142857142,Moderate
93428,2.588235294117647,High
93429,1.9473684210526316,Moderate
93430,2.111111111111111,Moderate
93432,2.142857142857143,Moderate
93434,1.7407407407407407,Moderate
93435,2.0,Moderate
93436,1.8991596638655461,Moderate
93437,2.2545454545454544,Moderate
93440,1.8,Moderate
93441,2.1666666666666665,Moderate
93442,2.425,Moderate
93444,1.8166666666666667,Moderate
93445,1.3333333333333333,Low
93446,1.6451612903225807,Moderate
93449,2.358974358974359,Moderate
93450,1.7037037037037037,Moderate
93451,1.7575757575757576,Moderate
93452,2.413793103448276,Moderate
93453,2.491758241758242,Moderate
93454,2.4489795918367347,Moderate
93455,2.073394495412844,Moderate
93458,3.0,High
93460,2.409090909090909,Moderate
93461,2.066666666666667,Moderate
93463,1.619047619047619,Moderate
93465,1.8214285714285714,Moderate
93501,1.4,Low
93510,2.9,High
93512,1.8333333333333333,Moderate
93513,1.7,Moderate
93514,1.63,Moderate
93517,1.9210526315789473,Moderate
93518,2.1805555555555554,Moderate
93519,1.3333333333333333,Low
93526,1.8761904761904762,Moderate
93527,1.4883720930232558,Low
93529,2.2531645569620253,Moderate
93531,2.3333333333333335,Moderate
93532,2.25,Moderate
93536,1.8518518518518519,Moderate
93541,1.7953216374269005,Moderate
93543,1.8,Moderate
93544,2.0,Moderate
93545,2.0220588235294117,Moderate
93546,2.0238095238095237,Moderate
93550,2.3333333333333335,Moderate
93551,2.6875,High
93552,2.6666666666666665,High
93553,2.4,Moderate
93560,1.8235294117647058,Moderate
93561,1.8571428571428572,Moderate
93563,2.986666666666667,High
93601,2.7142857142857144,High
93602,2.8333333333333335,High
93603,2.125,Moderate
93604,2.6666666666666665,High
93610,1.0833333333333333,Low
93614,2.4444444444444446,Moderate
93615,1.5,Moderate
93619,1.793103448275862,Moderate
93621,2.8,High
93622,1.8571428571428572,Moderate
93623,3.0,High
93626,1.8823529411764706,Moderate
93628,3.0,High
93633,3.0,High
93635,1.8571428571428572,Moderate
93636,1.5217391304347827,Moderate
93638,1.3333333333333333,Low
93640,2.1463414634146343,Moderate
93641,2.3333333333333335,Moderate
93643,2.746268656716418,High
93644,2.59375,High
93645,2.3125,Moderate
93646,1.25,Low
93647,1.302325581395349,Low
93651,2.5,High
93653,2.5555555555555554,High
93654,1.5217391304347827,Moderate
93657,2.05,Moderate
93664,2.4150943396226414,Moderate
93667,2.7037037037037037,High
93669,2.8181818181818183,High
93675,1.8275862068965518,Moderate
93730,1.0,Low
93906,1.25,Low
93907,1.1379310344827587,Low
93908,1.7647058823529411,Moderate
93920,2.5526315789473686,High
93923,2.3191489361702127,Moderate
93924,2.2666666666666666,Moderate
93925,2.25,Moderate
93926,2.2962962962962963,Moderate
93927,2.185185185185185,Moderate
93930,1.7272727272727273,Moderate
93932,2.111111111111111,Moderate
93940,2.6666666666666665,High
93944,3.0,High
93950,2.5,High
93953,2.0588235294117645,Moderate
93960,1.4803921568627452,Low
94002,2.2,Moderate
94005,1.3333333333333333,Low
94010,2.111111111111111,Moderate
94014,1.0,Low
94019,2.3529411764705883,Moderate
94020,2.8823529411764706,High
94021,2.0,Moderate
94022,1.9615384615384615,Moderate
94024,2.4545454545454546,Moderate
94025,1.5,Moderate
94027,1.5,Moderate
94028,2.0,Moderate
94030,1.5555555555555556,Moderate
94037,2.2,Moderate
94038,2.2,Moderate
94044,2.4,Moderate
94060,1.1693548387096775,Low
94061,2.3333333333333335,Moderate
94062,2.1458333333333335,Moderate
94066,2.5,High
94070,2.076923076923077,Moderate
94074,2.7857142857142856,High
94080,1.3333333333333333,Low
94402,2.0,Moderate
94403,1.0,Low
94503,1.4166666666666667,Low
94506,2.081081081081081,Moderate
94507,1.6956521739130435,Moderate
94508,1.9285714285714286,Moderate
94509,1.8333333333333333,Moderate
94510,1.25,Low
94513,2.0,Moderate
94514,1.1111111111111112,Low
94515,1.9411764705882353,Moderate
94517,2.0,Moderate
94519,1.5,Moderate
94520,1.375,Low
94521,1.6,Moderate
94523,1.625,Moderate
94525,2.0,Moderate
94526,2.6666666666666665,High
94528,1.8,Moderate
94530,3.0,High
94531,1.8888888888888888,Moderate
94533,1.1785714285714286,Low
94534,1.7959183673469388,Moderate
94536,2.5,High
